hour,month,weekday,agency_num,borough_num,processing_time_bucket
0,1,5,0,2,0
0,1,5,0,5,0
0,1,5,1,5,1
0,1,5,1,5,1
0,1,5,0,3,0
0,1,5,0,2,0
0,1,5,0,1,0
0,1,5,0,1,0
0,1,5,2,5,1
0,1,5,0,2,0
0,1,5,0,5,0
0,1,5,0,1,0
0,1,5,0,3,0
0,1,5,0,2,0
0,1,5,0,3,0
0,1,5,0,2,0
0,1,5,0,1,0
0,1,5,0,2,0
0,1,5,0,2,0
0,1,5,0,3,0
0,1,5,1,1,1
0,1,5,0,2,0
0,1,5,0,2,0
0,1,5,0,2,0
0,1,5,0,2,0
0,1,5,0,4,0
0,1,5,3,1,1
0,1,5,0,5,0
0,1,5,1,2,1
0,1,5,0,2,0
0,1,5,0,1,0
0,1,5,0,5,0
0,1,5,0,1,0
0,1,5,0,2,0
0,1,5,0,2,0
0,1,5,0,2,0
0,1,5,0,5,0
0,1,5,0,2,0
0,1,5,0,5,0
0,1,5,0,1,0
0,1,5,0,5,0
0,1,5,0,5,0
0,1,5,0,3,0
0,1,5,0,5,0
0,1,5,0,1,0
0,1,5,0,3,0
0,1,5,3,5,0
0,1,5,0,2,0
0,1,5,0,2,0
0,1,5,0,5,0
0,1,5,4,2,1
0,1,5,0,2,0
0,1,5,0,1,0
0,1,5,0,2,0
0,1,5,0,3,0
0,1,5,0,1,0
0,1,5,0,1,0
0,1,5,0,2,0
0,1,5,0,4,0
0,1,5,3,5,1
0,1,5,0,2,0
0,1,5,0,5,0
0,1,5,0,3,0
0,1,5,0,2,0
0,1,5,0,2,0
0,1,5,3,1,1
0,1,5,0,5,0
0,1,5,0,1,0
0,1,5,0,3,0
0,1,5,0,2,0
0,1,5,0,1,0
0,1,5,0,2,0
0,1,5,0,2,0
0,1,5,0,2,0
0,1,5,0,3,0
0,1,5,0,2,0
0,1,5,0,2,0
0,1,5,0,3,0
0,1,5,0,2,0
0,1,5,0,1,0
0,1,5,0,3,0
0,1,5,0,3,0
0,1,5,0,2,0
0,1,5,0,1,0
0,1,5,0,3,0
0,1,5,3,5,0
0,1,5,0,3,0
0,1,5,3,2,1
0,1,5,0,3,0
0,1,5,1,2,1
0,1,5,5,1,1
