hour,month,weekday,agency_num,borough_num
08,04,5,13,0
18,01,5,0,3
17,04,5,1,2
11,03,2,9,0
18,02,1,5,2
17,04,5,1,2
12,02,1,0,1
16,04,5,0,2
05,01,5,0,5
18,02,1,1,1
03,01,5,0,5
12,03,2,0,2
18,01,5,1,1
11,02,1,1,3
01,03,2,0,3
12,02,1,5,2
15,02,1,14,1
06,01,5,1,2
12,04,5,4,2
05,01,5,0,3
08,02,1,1,5
23,02,1,0,1
15,04,5,13,3
06,01,5,0,3
12,01,5,1,1
00,02,1,2,2
12,01,5,4,2
13,02,1,0,2
19,03,2,1,5
14,04,5,3,1
01,01,5,0,1
20,03,2,13,0
13,04,5,1,2
09,02,1,0,2
15,01,5,3,5
22,02,1,1,1
00,02,1,2,5
15,01,5,1,1
10,03,2,13,0
15,01,5,0,3
16,04,5,13,1
21,03,2,0,2
09,04,5,0,1
13,04,5,6,0
10,02,1,1,2
21,01,5,1,5
17,02,1,3,1
17,04,5,1,1
12,04,5,1,1
09,03,2,0,1
13,02,1,1,3
03,01,5,0,1
03,01,5,1,2
11,02,1,0,2
11,03,2,1,5
23,02,1,1,2
13,02,1,1,5
03,01,5,0,1
01,01,5,0,1
11,04,5,4,2
11,01,5,1,2
20,02,1,0,5
13,04,5,1,1
14,04,5,0,3
01,01,5,0,5
10,01,5,0,5
14,04,5,4,5
02,01,5,0,1
22,01,5,14,1
01,04,5,1,1
11,04,5,1,5
02,03,2,0,2
07,03,2,3,5
12,01,5,1,1
23,02,1,3,2
17,03,2,5,0
09,04,5,14,0
14,01,5,0,3
10,03,2,1,1
02,01,5,0,2
04,03,2,1,5
18,04,5,1,1
15,04,5,3,5
13,03,2,1,5
19,02,1,1,5
04,04,5,0,1
17,04,5,3,3
10,02,1,0,3
15,01,5,0,1
02,03,2,0,1
10,03,2,0,2
17,04,5,6,1
13,03,2,1,1
00,01,5,5,1
06,04,5,1,1
15,04,5,3,2
00,04,5,3,2
16,03,2,1,5
15,03,2,6,1
10,02,1,1,1
