,Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
0,32305299,01/01/2016 12:00:09 AM,01/01/2016 01:57:32 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11201.0,102 GOLD STREET,GOLD STREET,FRONT STREET,YORK STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/01/2016 08:00:09 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2016 01:57:32 AM,02 BROOKLYN,BROOKLYN,989008.0,194970.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.70182309943841,-73.98284003196223,"(40.70182309943841, -73.98284003196223)"
1,32310343,01/01/2016 12:00:40 AM,01/01/2016 03:12:53 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10468.0,3155 GRAND CONCOURSE,GRAND CONCOURSE,EAST 205 STREET,EAST 206 STREET,,,ADDRESS,BRONX,,Precinct,Closed,01/01/2016 08:00:40 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2016 03:12:53 AM,07 BRONX,BRONX,1015746.0,258290.0,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.87556453341452,-73.8861112339118,"(40.87556453341452, -73.88611123391182)"
2,32309107,01/01/2016 12:01:09 AM,01/21/2016 09:20:55 AM,HPD,Department of Housing Preservation and Development,ELECTRIC,NO LIGHTING,RESIDENTIAL BUILDING,10467.0,3572 DEKALB AVENUE,DEKALB AVENUE,,,,,ADDRESS,BRONX,,,Closed,,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",01/21/2016 09:20:55 AM,07 BRONX,BRONX,1017740.0,261467.0,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.884277062723896,-73.87888510394455,"(40.8842770627239, -73.87888510394457)"
3,32308578,01/01/2016 12:02:59 AM,01/01/2016 11:35:50 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,,539 SIXTH AVENUE,SIXTH AVENUE,,,,,,,,Precinct,Closed,01/01/2016 08:02:59 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2016 11:35:50 PM,0 Unspecified,Unspecified,,,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,,,
4,32309212,01/01/2016 12:03:03 AM,01/08/2016 01:13:00 AM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10458.0,2345 TIEBOUT AVENUE,TIEBOUT AVENUE,,,,,ADDRESS,BRONX,,,Closed,,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",01/08/2016 01:13:00 AM,05 BRONX,BRONX,1012851.0,251829.0,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.857840920747364,-73.8966070485658,"(40.85784092074736, -73.8966070485658)"
5,32305983,01/01/2016 12:03:03 AM,01/01/2016 03:24:46 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11373.0,79-11 41 AVENUE,41 AVENUE,79 STREET,80 STREET,,,ADDRESS,ELMHURST,,Precinct,Closed,01/01/2016 08:03:03 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2016 03:24:46 AM,04 QUEENS,QUEENS,1015780.0,210986.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.745728207655894,-73.88621048623588,"(40.745728207655894, -73.88621048623587)"
6,32305208,01/01/2016 12:03:29 AM,01/01/2016 02:43:08 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11236.0,1477 EAST 94 STREET,EAST 94 STREET,AVENUE L,AVENUE M,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/01/2016 08:03:29 AM,The Police Department responded to the complaint and determined that police action was not necessary.,01/01/2016 02:43:08 AM,18 BROOKLYN,BROOKLYN,1013030.0,171029.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.63606492388788,-73.89630573042851,"(40.63606492388788, -73.89630573042852)"
7,32309484,01/01/2016 12:04:06 AM,01/01/2016 12:28:32 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10026.0,257 WEST 118 STREET,WEST 118 STREET,ST NICHOLAS AVENUE,8 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,01/01/2016 08:04:06 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2016 12:28:32 AM,10 MANHATTAN,MANHATTAN,997221.0,232637.0,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.80520120189394,-73.95314677412019,"(40.80520120189394, -73.95314677412019)"
8,32309055,01/01/2016 12:04:37 AM,01/01/2016 03:54:37 AM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10032.0,656 WEST 162 STREET,WEST 162 STREET,FT WASHINGTON AVENUE,RIVERSIDE DRIVE,,,ADDRESS,NEW YORK,,Precinct,Closed,01/01/2016 08:04:37 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2016 03:54:37 AM,12 MANHATTAN,MANHATTAN,999514.0,244631.0,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.83811767058312,-73.94483682840779,"(40.83811767058312, -73.9448368284078)"
9,32306772,01/01/2016 12:04:56 AM,01/04/2016 12:00:01 AM,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10458.0,2537 WEBSTER AVENUE,WEBSTER AVENUE,EAST FORDHAM ROAD,EAST 193 STREET,,,ADDRESS,BRONX,,,Closed,01/15/2016 12:04:56 AM,"The Department of Health and Mental Hygiene will review your complaint within 24 hours.  Complaints of this type usually result in complainant contact and/or inspection by the agency. Initial status will be available 14 days after the date of your complaint by calling 311. If you are experiencing medical symptoms, please seek medical attention or consult the NYC Poison Control Center which can be reached through 311.   Please note your Service Request number for future reference.",01/05/2016 04:14:18 PM,07 BRONX,BRONX,1014376.0,253318.0,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.86192270280152,-73.89108746861388,"(40.86192270280152, -73.89108746861388)"
10,32310309,01/01/2016 12:05:04 AM,01/01/2016 01:35:47 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11233.0,216 ROCKAWAY AVENUE,ROCKAWAY AVENUE,ATLANTIC AVENUE,PACIFIC STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/01/2016 08:05:04 AM,The Police Department responded to the complaint and took action to fix the condition.,01/01/2016 01:35:47 AM,16 BROOKLYN,BROOKLYN,1008936.0,185447.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67565151198647,-73.9110036136785,"(40.675651511986466, -73.9110036136785)"
11,32305945,01/01/2016 12:05:09 AM,01/01/2016 01:30:48 AM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10471.0,6211 BROADWAY,BROADWAY,WEST 251 STREET,WEST 252 STREET,,,ADDRESS,BRONX,,Precinct,Closed,01/01/2016 08:05:09 AM,The Police Department responded to the complaint and took action to fix the condition.,01/01/2016 01:30:48 AM,08 BRONX,BRONX,1012781.0,265876.0,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.89639579249236,-73.89680027435357,"(40.896395792492356, -73.89680027435357)"
12,32310278,01/01/2016 12:05:19 AM,01/01/2016 12:10:18 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10128.0,227 EAST 96 STREET,EAST 96 STREET,3 AVENUE,2 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,01/01/2016 08:05:19 AM,The Police Department responded to the complaint and determined that police action was not necessary.,01/01/2016 12:10:18 AM,11 MANHATTAN,MANHATTAN,998499.0,225230.0,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.784869028449954,-73.94854616042629,"(40.784869028449954, -73.9485461604263)"
13,32307413,01/01/2016 12:05:35 AM,01/01/2016 05:23:46 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11379.0,78-42 METROPOLITAN AVENUE,METROPOLITAN AVENUE,79 STREET,79 STREET,,,ADDRESS,MIDDLE VILLAGE,,Precinct,Closed,01/01/2016 08:05:35 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2016 05:23:46 AM,05 QUEENS,QUEENS,1019142.0,199139.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.713198496024376,-73.87413871579652,"(40.713198496024376, -73.87413871579652)"
14,32305991,01/01/2016 12:06:32 AM,01/01/2016 02:36:16 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11225.0,605 ROGERS AVENUE,ROGERS AVENUE,WINTHROP STREET,PARKSIDE AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/01/2016 08:06:32 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2016 02:36:16 AM,09 BROOKLYN,BROOKLYN,997257.0,178590.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.656855438042214,-73.95312121435825,"(40.656855438042214, -73.95312121435825)"
15,32309413,01/01/2016 12:07:32 AM,01/01/2016 07:15:58 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11369.0,32-47 110 STREET,110 STREET,ASTORIA BOULEVARD,NORTHERN BOULEVARD,,,ADDRESS,EAST ELMHURST,,Precinct,Closed,01/01/2016 08:07:32 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2016 07:15:58 AM,03 QUEENS,QUEENS,1023003.0,215812.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.75894563555228,-73.86011542348268,"(40.75894563555228, -73.86011542348267)"
16,32305243,01/01/2016 12:07:51 AM,01/01/2016 02:21:41 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11219.0,44 STREET,44 STREET,14 AVENUE,15 AVENUE,,,BLOCKFACE,BROOKLYN,,Precinct,Closed,01/01/2016 08:07:51 AM,The Police Department responded to the complaint and took action to fix the condition.,01/01/2016 02:21:41 AM,12 BROOKLYN,BROOKLYN,988163.0,170927.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.63583084691343,-73.98590152326081,"(40.63583084691343, -73.98590152326082)"
17,32306674,01/01/2016 12:08:07 AM,01/01/2016 12:31:48 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10027.0,47 WEST 127 STREET,WEST 127 STREET,5 AVENUE,LENOX AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,01/01/2016 08:08:07 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2016 12:31:48 AM,10 MANHATTAN,MANHATTAN,1000080.0,233787.0,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.80835297400564,-73.9428169220209,"(40.808352974005636, -73.94281692202091)"
18,32305260,01/01/2016 12:08:14 AM,01/01/2016 01:46:30 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11225.0,1325 UNION STREET,UNION STREET,NOSTRAND AVENUE,NEW YORK AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/01/2016 08:08:14 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2016 01:46:30 AM,09 BROOKLYN,BROOKLYN,998549.0,182955.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.66883440348891,-73.94845543554169,"(40.66883440348891, -73.94845543554169)"
19,32307278,01/01/2016 12:08:30 AM,01/01/2016 01:17:38 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11228.0,102 BAY 11 STREET,BAY 11 STREET,BENSON AVENUE,BATH AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/01/2016 08:08:30 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2016 01:17:38 AM,11 BROOKLYN,BROOKLYN,981382.0,160915.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.60835039753288,-74.01032910481905,"(40.60835039753288, -74.01032910481905)"
20,32305908,01/01/2016 12:08:35 AM,01/01/2016 06:33:57 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11370.0,32-29 77 STREET,77 STREET,32 AVENUE,NORTHERN BOULEVARD,,,ADDRESS,EAST ELMHURST,,Precinct,Closed,01/01/2016 08:08:35 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2016 06:33:57 AM,03 QUEENS,QUEENS,1014654.0,214891.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.756450380250826,-73.89025647952306,"(40.75645038025083, -73.89025647952307)"
21,32317052,01/01/2016 12:09:58 AM,01/02/2016 10:04:21 AM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10024.0,37 WEST   84 STREET,WEST   84 STREET,,,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",01/02/2016 10:04:21 AM,07 MANHATTAN,MANHATTAN,992157.0,225082.0,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.784470757245174,-73.97144760616737,"(40.78447075724517, -73.97144760616737)"
22,32305166,01/01/2016 12:09:58 AM,01/01/2016 10:38:15 AM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11213.0,400 HERKIMER STREET,HERKIMER STREET,KINGSTON AVENUE,ALBANY AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/01/2016 08:09:58 AM,This complaint does not fall under the Police Department's jurisdiction.,01/01/2016 10:38:15 AM,03 BROOKLYN,BROOKLYN,1000876.0,186700.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67910952008634,-73.94005790714337,"(40.67910952008634, -73.94005790714336)"
23,32308834,01/01/2016 12:10:02 AM,01/01/2016 09:01:56 PM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11216.0,464 NOSTRAND AVENUE,NOSTRAND AVENUE,JEFFERSON AVENUE,HANCOCK STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/01/2016 08:10:02 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2016 09:01:56 PM,03 BROOKLYN,BROOKLYN,998084.0,188132.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.683044837854396,-73.95012102555529,"(40.683044837854396, -73.95012102555529)"
24,32305868,01/01/2016 12:10:06 AM,01/01/2016 01:26:58 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11228.0,7324 11 AVENUE,11 AVENUE,73 STREET,74 STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/01/2016 08:10:06 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2016 01:26:58 AM,10 BROOKLYN,BROOKLYN,981247.0,166598.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.62394901084127,-74.01081783506336,"(40.623949010841265, -74.01081783506336)"
25,32309924,01/01/2016 12:10:11 AM,01/01/2016 03:54:35 PM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11230.0,931 EAST 5 STREET,EAST 5 STREET,FOSTER AVENUE,WALSH COURT,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/01/2016 08:10:11 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/01/2016 03:54:35 PM,14 BROOKLYN,BROOKLYN,991821.0,168348.0,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.628749667029155,-73.97272470140605,"(40.62874966702916, -73.97272470140605)"
