TestName,SampleName
AbuTalibmusician,FatsDomino
AmosGarrett,WayneFederman
ArnettCobb,HersalThomas
AsylumStreetSpankers,DrJohn
BBKing,BobBaldori
BernardPurdie,MemphisSlim
BigJayMcNeely,JimJonesRevue
BigJoeDuskin,BigJoeDuskin
BigNickNicholas,MichaelKaeshammer
BillieHoliday,BobHallmusician
BilliePierce,GeneTaylorpianist
BillyEckstine,FatsDomino
BluesianaTriangle,BoogieWoogieRed
BobbyShort,JamesBooker
CabCalloway,JohnLeeHooker
CalvinNewborn,ShizukoKasagi
CecilGant,JamesBooker
CharlesBrownmusician,HarryGibson
CharlieChristian,LouisJordan
CharlieGreenmusician,BoogieWoogieRed
CharlieParker,HarryGibson
ChickWebb,LouisJordan
ChrisCain,WillieHallpianist
ChuckRainey,BobHallmusician
ChuckWillis,JimJonesRevue
CrystalGayle,PianoRed
DavidTWalker,MontanaTaylor
DeeDeeBridgewater,HersalThomas
DinahWashington,DeannaBogart
DukeRobillard,BookerTLaury
EstherPhillips,CamilleHoward
HankCrawford,StephanieTrick
IvoryJoeHunter,GeorgeWThomas
JesseFuller,PinetopSmith
JimmyGourley,GeorgiaTomDorsey
JimmyO27Bryant,MontanaTaylor
JimmyRushing,WillieHallpianist
JimmyWitherspoon,MoonMullican
JoanArmatrading,ErnieFreeman
JoeLiggins,BobHallmusician
JoeMooneymusician,PeteJohnson
JoeTurnerjazzpianist,BobSeeley
JohnAltenburgh,HarryGibson
JohnnyOtis,GeorgiaTomDorsey
JohnSurman,MitchWoods
LaVerneBaker,HenryGraymusician
LonnieJohnsonmusician,TRexband
LouisJordan,LouisJordan
MattMurphybluesguitarist,FatsDomino
MelvinSparks,HenryGraymusician
MoseAllison,JimmyYancey
OranPage,NevilleDickie
OtisSpann,EllaFitzgerald
PatHare,HenryGraymusician
PercyMayfield,CommanderCodyandHisLostPlanetAirmen
PeteJohnson,PeteJohnson
PhilUpchurch,BoogieWoogieRed
PhineasNewbornJr,PinetopSmith
PhoebeSnow,Liberace
RamRamirez,BoogieWoogieRed
RobbenFord,StephanieTrick
RobinKenyatta,MichaelKaeshammer
RooseveltSykes,RooseveltSykes
RoyMilton,FloydDomino
RuthBrown,JamesBooker
SamTaylorsaxophonist,RossPetot
SlimGaillard,LouisJordan
SpeckledRed,SpeckledRed
SylviaSymssinger,HueyPianoSmith
TalFarlow,MontanaTaylor
TBoneWalker,BobBaldori
TeddyGrace,WayneFederman
